obs,e,z,binaryClass
1.0,0.057,0.0,b'P'
2.0,0.064,0.0,b'P'
3.0,0.064,0.0,b'P'
4.0,0.066,1.0,b'P'
5.0,0.462,0.0,b'P'
6.0,0.086,0.0,b'P'
7.0,0.114,0.0,b'P'
8.0,0.117,0.0,b'P'
9.0,0.118,0.0,b'P'
10.0,0.119,0.0,b'P'
11.0,0.126,0.0,b'P'
12.0,0.231,1.0,b'P'
13.0,0.261,1.0,b'P'
14.0,0.211,1.0,b'P'
15.0,0.216,1.0,b'P'
16.0,0.218,0.0,b'P'
17.0,0.648,1.0,b'P'
18.0,0.143,0.0,b'P'
19.0,0.144,2.0,b'P'
20.0,0.21,1.0,b'P'
21.0,0.244,0.0,b'P'
22.0,0.53,3.0,b'P'
23.0,0.796,2.0,b'P'
24.0,1.622,4.0,b'P'
25.0,0.561,2.0,b'P'
26.0,0.762,0.0,b'P'
27.0,1.222,1.0,b'P'
28.0,0.513,4.0,b'P'
29.0,0.532,0.0,b'P'
30.0,0.936,1.0,b'P'
31.0,0.503,1.0,b'P'
32.0,0.564,0.0,b'P'
33.0,0.572,2.0,b'P'
34.0,0.583,0.0,b'P'
35.0,0.722,0.0,b'P'
36.0,0.771,2.0,b'P'
37.0,1.873,4.0,b'P'
38.0,0.532,0.0,b'P'
39.0,0.584,0.0,b'P'
40.0,0.672,2.0,b'P'
41.0,0.722,1.0,b'P'
42.0,0.904,1.0,b'P'
43.0,1.236,0.0,b'P'
44.0,0.95,0.0,b'P'
45.0,1.405,1.0,b'P'
46.0,0.776,3.0,b'P'
47.0,1.013,0.0,b'P'
48.0,0.739,0.0,b'P'
49.0,1.77,1.0,b'P'
50.0,0.821,0.0,b'P'
51.0,1.115,2.0,b'P'
52.0,1.164,3.0,b'P'
53.0,1.164,0.0,b'P'
54.0,1.303,0.0,b'P'
55.0,1.774,3.0,b'P'
56.0,3.585,1.0,b'P'
57.0,1.193,1.0,b'P'
58.0,1.213,1.0,b'P'
59.0,1.232,1.0,b'P'
60.0,1.517,4.0,b'P'
61.0,1.52,3.0,b'P'
62.0,1.862,3.0,b'P'
63.0,1.888,1.0,b'P'
64.0,1.247,0.0,b'P'
65.0,1.381,2.0,b'P'
66.0,1.643,2.0,b'P'
67.0,1.66,4.0,b'P'
68.0,1.827,4.0,b'P'
69.0,1.486,3.0,b'P'
70.0,1.593,2.0,b'P'
71.0,2.265,4.0,b'P'
72.0,1.524,1.0,b'P'
73.0,1.759,3.0,b'P'
74.0,1.309,0.0,b'P'
75.0,1.529,4.0,b'P'
76.0,1.677,1.0,b'P'
77.0,1.654,2.0,b'P'
78.0,1.785,3.0,b'P'
79.0,1.979,4.0,b'P'
80.0,1.767,4.0,b'P'
81.0,2.465,2.0,b'P'
82.0,1.75,2.0,b'P'
83.0,2.458,4.0,b'P'
84.0,2.383,2.0,b'N'
85.0,2.717,3.0,b'N'
86.0,2.282,0.0,b'N'
87.0,2.115,0.0,b'N'
88.0,2.852,2.0,b'N'
89.0,2.856,5.0,b'N'
90.0,3.174,5.0,b'N'
91.0,2.369,1.0,b'N'
92.0,2.557,1.0,b'N'
93.0,3.859,3.0,b'N'
94.0,2.641,1.0,b'N'
95.0,2.741,1.0,b'N'
96.0,3.055,3.0,b'N'
97.0,3.513,1.0,b'N'
98.0,2.728,2.0,b'N'
99.0,3.354,6.0,b'N'
100.0,3.814,0.0,b'N'
101.0,4.014,2.0,b'N'
102.0,2.612,2.0,b'N'
103.0,2.815,1.0,b'N'
104.0,4.294,2.0,b'N'
105.0,3.45,8.0,b'N'
106.0,3.628,6.0,b'N'
107.0,4.219,1.0,b'N'
108.0,3.932,6.0,b'N'
109.0,4.082,4.0,b'N'
110.0,4.203,1.0,b'N'
111.0,4.022,3.0,b'N'
112.0,4.636,5.0,b'N'
113.0,5.571,2.0,b'N'
114.0,6.436,4.0,b'N'
115.0,5.344,3.0,b'N'
116.0,4.445,4.0,b'N'
117.0,4.705,5.0,b'N'
118.0,5.039,2.0,b'N'
119.0,6.043,6.0,b'N'
120.0,5.121,8.0,b'N'
121.0,11.26,5.0,b'N'
122.0,5.789,0.0,b'N'
123.0,6.044,6.0,b'N'
124.0,5.569,8.0,b'N'
125.0,6.13,7.0,b'N'
126.0,6.249,3.0,b'N'
127.0,7.002,3.0,b'N'
128.0,7.851,9.0,b'N'
129.0,9.573,7.0,b'N'
130.0,12.05,18.0,b'N'
131.0,12.131,17.0,b'N'
